Product name,Product amoun,Product unit price,Product running total.,Product description,"Product link"
SILICON LABS CP2102N-A02-GQFN28R,1,$1.58,$1.58,Transceiver QFN-28-EP(5x5) Interface Controllers RoHS,https://www.lcsc.com/product-detail/C964632.html?s_z=n_CP2102N-A02-GQFN28R
SHOU HAN TF PUSH,10,$0.0556,$0.56,-25℃~+90℃ Push-Push 2mm Connector and Ejector MicroSD Card (TF Card) SMD PC Card Sockets RoHS,https://www.lcsc.com/product-detail/C393941.html
XUNPU TS-1002S-07026C,10,$0.0479,$0.48,"Without Bracket 6mm 12V 6mm Round Button SPST 50mA SMD-4P,6x6mm Tactile Switches RoHS",https://www.lcsc.com/product-detail/C455114.html
FOJAN FRC1206F5101TS,100,$0.0026,$0.26,250mW 5.1kΩ 200V ±100ppm/℃ Thick Film Resistor ±1% 1206 Chip Resistor - Surface Mount RoHS,https://www.lcsc.com/product-detail/C2933721.html
YAGEO RC0603FR-0710KL,100,$0.0011,$0.11,100mW 10kΩ 75V ±100ppm/℃ Thick Film Resistor ±1% 0603 Chip Resistor - Surface Mount RoHS,https://www.lcsc.com/product-detail/C98220.html?s_z=n_C98220
SHOU HAN MST-12D18G4 SPDT Slide Switch,5,$0.0727,"$0.36","100mA Surface Mount, Right Angle SPDT 12V Black 10,000 Cycles SMD Slide Switches RoHS",https://www.lcsc.com/product-detail/C49023767.html?s_z=n_C49023767
ESPRESSIF ESP32-WROOM-32-N4,1,$4.1798,$4.18,"ESP32-DOWDQ6 -97dBm SMD,25.5x18mm RF Transceiver Modules and Modems RoHS",https://www.lcsc.com/product-detail/C82899.html
Advanced Monolithic Systems AMS1117-3.3,5,$0.1651,$0.83,"72dB@(120Hz) Positive Fixed 3.3V SOT-223 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators RoHS",https://www.lcsc.com/product-detail/C6186.html
MICROCHIP MCP73831T-2ACI/OT,5,$0.8821,$4.41,"Miniature Single-Cell, Fully Integrated Li-Ion, Li-Polymer Charge Management Controllers",https://www.lcsc.com/product-detail/C424093.html
SHOU HAN TYPE-C 16PIN 2MD(073),10,$0.0594,"$0.59","1 16P -25℃~+85℃ Type-C SMD USB, DVI, HDMI Connector Assemblies RoHS",https://www.lcsc.com/product-detail/C2765186.html
490-GRM21BR71A475KE51LCT-ND,10,$0.06400,$0.64,CAP CER 4.7UF 10V X7R 0805,https://www.digikey.com/en/products/detail/murata-electronics/GRM21BR71A475KE51L/7362918
478-KGM21AR71E105JUCT-ND,10,	$0.19400,$1.94,CAP CER 1UF 25V X7R 0805,https://www.digikey.com/en/products/detail/kyocera-avx/08053C105JAT2A/1602174
1276-1869-1-ND,10,$0.04500,$0.45,CAP CER 10UF 25V X5R 0603,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL10A106MA8NRNC/3887527
3.7V 2000mAh Pouch Li-Po,1,$2.50,$2.50,KC Approved Rechargeable 3.7V 2000mAh Pouch Li-Po & Li-Ion Lithium Batteries 654060,https://www.alibaba.com/product-detail/KC-Approved-Rechargeable-3-7V-2000mAh_1601519399317.html
"1.5"" SH1107 128x128 OLED Display",1,$5.00,$5.00,"HiLetgo 1.5"" SH1107 128x128 OLED Display Module 1.5 Inch IIC I2C 4 Pin OLED Screen LCD Display White",https://www.google.com/aclk?sa=L&ai=DChsSEwizqt60uLGRAxXGnMIIHbT-CKEYACICCAEQBRoCamY&co=1&ase=2&gclid=Cj0KCQiArt_JBhCTARIsADQZaymy8gpl2pMId7WmlXgEcw3KpAJHFdfxjLrHdPA-Nz-dbW9qDHrZxDsaApGAEALw_wcB&cid=CAASuwHkaGhQbwCSzWiIWTzQUtE-HHWwfMXclT6aJ4T3XXXD52qlwmxZF1oxpEe4uE6bNLjbDY6guBkrYYXvK7XZgt1Mig2CmbTxV9hc7F1eSTvFO1Om9y5qCASO-3QkHfV2GXGLm0IhH4HEa7xk3ZXDFdEqXC4jc2jlWimdAt2T3WkdcQuu4Fg9takGn7CL4P3mueOebUUg8cL1ARjPFb0Dn5NiAErkOvQXE4uHkCDzAqqLJF2livWdIq9ycosD&cce=2&category=acrcp_v1_32&sig=AOD64_0bxrFichiLzHD95WjNf_QAqIy-jw&ctype=5&q=&nis=4&ved=2ahUKEwjX4s-0uLGRAxVLnGoFHd18LKgQ9aACKAB6BAgGEBw&adurl=
PCB,5,$0.80,$4.00,The Main PCB,https://cart.jlcpcb.com/quote?fileId=1f338df814f34c74ba001d98014bf475&uuid=00080a55d7ae4d15911d977b355527e7&achieveDate=72&eadLink=2&electropolishingOnlyNo=no
Stencil,1,$7.00,$7.00,For reflowing,https://cart.jlcpcb.com/quote?fileId=1f338df814f34c74ba001d98014bf475&uuid=00080a55d7ae4d15911d977b355527e7&achieveDate=72&eadLink=2&electropolishingOnlyNo=no
